fixture_id,match_date,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,outcome,total_goals,home_rank,away_rank,home_points,away_points,home_goals_diff,away_goals_diff,home_form,away_form,home_avg_goals_for,home_avg_goals_against,away_avg_goals_for,away_avg_goals_against,home_clean_sheets,away_clean_sheets
674020,2021-02-12T22:15:00+00:00,2021,1st Phase - 1,449,Banfield,436,Racing Club,2,0,H,2,20,15,27,32,-5,1,DDWDL,WLWLL,1.0526315789473684,1.2105263157894737,0.75,1.05,7,8
674028,2021-02-13T00:30:00+00:00,2021,1st Phase - 1,441,Union Santa Fe,455,Atletico Tucuman,2,2,D,4,12,25,34,22,0,-24,WLWWL,DLLLL,1.5263157894736843,0.9473684210526315,0.8421052631578947,2.1052631578947367,8,1
674022,2021-02-13T00:30:00+00:00,2021,1st Phase - 1,1065,Central Cordoba de Santiago,448,Colon Santa Fe,0,3,A,3,22,7,26,39,-6,-5,LWWLW,LWDLW,1.263157894736842,1.4736842105263157,1.3,1.3,6,6
674025,2021-02-13T20:10:00+00:00,2021,1st Phase - 1,456,Talleres Cordoba,444,Patronato,1,0,H,1,3,23,46,25,10,-12,LWWLD,DDLLW,1.5789473684210527,0.6842105263157895,0.6842105263157895,1.8421052631578947,9,3
674019,2021-02-13T20:10:00+00:00,2021,1st Phase - 1,463,Aldosivi,439,Godoy Cruz,1,2,A,3,13,17,33,31,-10,2,WWLWW,LDWLD,1.263157894736842,1.631578947368421,1.4210526315789473,1.368421052631579,5,3
674023,2021-02-13T22:20:00+00:00,2021,1st Phase - 1,438,Velez Sarsfield,457,Newells Old Boys,1,0,H,1,5,19,39,28,13,-8,LDLWD,LDDWL,1.7894736842105263,0.8421052631578947,0.8947368421052632,1.736842105263158,12,2
674021,2021-02-14T00:30:00+00:00,2021,1st Phase - 1,460,San Lorenzo,459,Arsenal Sarandi,2,1,H,3,21,26,27,21,-10,-22,WDWLL,DDLLW,1.2105263157894737,1.105263157894737,0.5263157894736842,2.0,6,4
674027,2021-02-14T20:10:00+00:00,2021,1st Phase - 1,442,Defensa Y Justicia,445,Huracan,3,2,H,5,2,8,47,38,19,3,WWDWW,WWLWL,1.8421052631578947,0.9473684210526315,1.263157894736842,1.3157894736842106,6,4
674024,2021-02-14T22:20:00+00:00,2021,1st Phase - 1,451,Boca Juniors,434,Gimnasia L.P.,2,2,D,4,4,11,41,36,16,-1,WDDLW,DDLWW,1.5789473684210527,0.8421052631578947,0.7368421052631579,1.263157894736842,7,7
674018,2021-02-15T00:30:00+00:00,2021,1st Phase - 1,450,Estudiantes L.P.,435,River Plate,2,1,H,3,6,1,39,54,12,34,LDWWW,DLDWW,1.3157894736842106,0.8421052631578947,1.894736842105263,0.7894736842105263,8,7
676619,2021-02-15T22:15:00+00:00,2021,1st Phase - 1,437,Rosario Central,458,Argentinos JRS,2,1,H,3,16,14,32,32,-2,1,LDDWW,WLWLD,1.7894736842105263,1.3157894736842106,0.8421052631578947,1.1578947368421053,4,6
674026,2021-02-16T00:30:00+00:00,2021,1st Phase - 1,453,Independiente,446,Lanus,0,1,A,1,9,10,38,37,3,1,WDLWL,LDLDL,1.2,0.65,1.4210526315789473,1.631578947368421,11,5
674038,2021-02-19T22:15:00+00:00,2021,1st Phase - 2,434,Gimnasia L.P.,456,Talleres Cordoba,3,0,H,3,11,3,36,46,-1,10,DDLWW,LWWLD,1.4736842105263157,1.263157894736842,1.4210526315789473,1.631578947368421,8,3
674031,2021-02-20T00:30:00+00:00,2021,1st Phase - 2,459,Arsenal Sarandi,449,Banfield,0,2,A,2,26,20,21,27,-22,-5,DDLLW,DDWDL,0.6842105263157895,1.0,0.7368421052631579,0.7368421052631579,8,9
674033,2021-02-20T20:10:00+00:00,2021,1st Phase - 2,439,Godoy Cruz,450,Estudiantes L.P.,0,2,A,2,17,6,31,39,2,12,LDWLD,LDWWW,1.368421052631579,1.631578947368421,1.7894736842105263,1.3157894736842106,3,5
674036,2021-02-20T20:10:00+00:00,2021,1st Phase - 2,446,Lanus,442,Defensa Y Justicia,2,1,H,3,10,2,37,47,1,19,LDLDL,WWDWW,1.8421052631578947,1.5789473684210527,1.2105263157894737,1.4210526315789473,2,6
674032,2021-02-20T22:20:00+00:00,2021,1st Phase - 2,436,Racing Club,463,Aldosivi,2,2,D,4,15,13,32,33,1,-10,WLWLL,WWLWW,1.2105263157894737,0.8947368421052632,1.0526315789473684,1.5263157894736843,9,5
